transaction_id,customer_id,product_id,category,revenue,quantity,date,region,channel
T00090,C0072,P034,Sports,101.4,1,2025-10-31 18:07:25.128395,East,Retail
T00091,C0078,P006,Food,26.83,4,2025-11-01 00:07:25.128395,East,Mobile
T00092,C0087,P002,Clothing,87.19,1,2025-11-01 06:07:25.128395,West,Online
T00093,C0062,P013,Food,41.27,5,2025-11-01 12:07:25.128395,East,Online
T00094,C0040,P043,Clothing,153.81,1,2025-11-01 18:07:25.128395,East,Mobile
T00095,C0085,P043,Clothing,89.39,5,2025-11-02 00:07:25.128395,North,Mobile
T00096,C0080,P048,Electronics,27.74,5,2025-11-02 06:07:25.128395,West,Mobile
T00097,C0082,P011,Food,15.34,5,2025-11-02 12:07:25.128395,South,Retail
T00098,C0053,P047,Food,13.49,4,2025-11-02 18:07:25.128395,East,Online
T00099,C0024,P023,Sports,47.14,1,2025-11-03 00:07:25.128395,South,Mobile
T00100,C0026,P016,Sports,34.72,1,2025-11-03 06:07:25.128395,South,Retail
T00101,C0089,P031,Electronics,93.1,4,2025-11-03 12:07:25.128395,North,Online
T00102,C0060,P011,Electronics,65.35,3,2025-11-03 18:07:25.128395,East,Retail
T00103,C0041,P016,Books,34.74,2,2025-11-04 00:07:25.128395,West,Online
T00104,C0029,P008,Sports,22.93,1,2025-11-04 06:07:25.128395,East,Retail
T00105,C0015,P004,Clothing,20.88,2,2025-11-04 12:07:25.128395,South,Online
T00106,C0045,P040,Food,170.0,4,2025-11-04 18:07:25.128395,West,Online
T00107,C0065,P004,Electronics,32.32,3,2025-11-05 00:07:25.128395,East,Retail
T00108,C0089,P025,Food,94.38,3,2025-11-05 06:07:25.128395,South,Mobile
T00109,C0071,P003,Food,143.15,3,2025-11-05 12:07:25.128395,South,Online
T00110,C0009,P032,Books,86.17,4,2025-11-05 18:07:25.128395,North,Mobile
T00111,C0088,P003,Sports,167.04,5,2025-11-06 00:07:25.128395,North,Retail
T00112,C0001,P027,Electronics,49.86,5,2025-11-06 06:07:25.128395,North,Mobile
T00113,C0008,P029,Food,260.29,2,2025-11-06 12:07:25.128395,South,Mobile
T00114,C0088,P032,Electronics,21.43,5,2025-11-06 18:07:25.128395,East,Mobile
T00115,C0063,P050,Clothing,18.62,5,2025-11-07 00:07:25.128395,North,Mobile
T00116,C0011,P019,Books,96.0,3,2025-11-07 06:07:25.128395,East,Mobile
T00117,C0081,P021,Clothing,238.94,3,2025-11-07 12:07:25.128395,North,Online
T00118,C0008,P005,Electronics,142.39,2,2025-11-07 18:07:25.128395,West,Online
T00119,C0035,P018,Electronics,16.36,1,2025-11-08 00:07:25.128395,West,Online
T00120,C0035,P028,Sports,36.21,2,2025-11-08 06:07:25.128395,North,Retail
T00121,C0033,P042,Food,223.11,2,2025-11-08 12:07:25.128395,South,Mobile
T00122,C0005,P022,Food,33.34,4,2025-11-08 18:07:25.128395,North,Online
T00123,C0041,P021,Clothing,131.56,4,2025-11-09 00:07:25.128395,North,Retail
T00124,C0028,P006,Books,149.5,2,2025-11-09 06:07:25.128395,South,Online
T00125,C0007,P001,Food,64.73,2,2025-11-09 12:07:25.128395,West,Online
T00126,C0073,P005,Sports,49.07,2,2025-11-09 18:07:25.128395,East,Mobile
T00127,C0072,P041,Clothing,57.85,5,2025-11-10 00:07:25.128395,North,Retail
T00128,C0012,P012,Clothing,30.59,4,2025-11-10 06:07:25.128395,South,Mobile
T00129,C0034,P026,Sports,186.14,2,2025-11-10 12:07:25.128395,North,Mobile
T00130,C0033,P046,Books,57.92,3,2025-11-10 18:07:25.128395,South,Online
T00131,C0048,P034,Sports,181.28,3,2025-11-11 00:07:25.128395,East,Mobile
T00132,C0023,P049,Books,18.94,5,2025-11-11 06:07:25.128395,East,Retail
T00133,C0062,P014,Sports,365.68,5,2025-11-11 12:07:25.128395,West,Mobile
T00134,C0088,P026,Sports,56.85,1,2025-11-11 18:07:25.128395,South,Mobile
T00135,C0037,P045,Electronics,13.92,1,2025-11-12 00:07:25.128395,South,Mobile
T00136,C0099,P027,Clothing,13.1,1,2025-11-12 06:07:25.128395,West,Online
T00137,C0044,P009,Sports,119.7,5,2025-11-12 12:07:25.128395,West,Retail
T00138,C0086,P026,Sports,96.08,5,2025-11-12 18:07:25.128395,South,Online
T00139,C0091,P047,Food,139.61,5,2025-11-13 00:07:25.128395,West,Online
T00140,C0035,P022,Clothing,18.91,3,2025-11-13 06:07:25.128395,East,Online
T00141,C0065,P047,Food,12.9,5,2025-11-13 12:07:25.128395,North,Online
T00142,C0099,P030,Clothing,66.84,3,2025-11-13 18:07:25.128395,East,Online
T00143,C0047,P043,Food,49.23,1,2025-11-14 00:07:25.128395,West,Retail
T00144,C0078,P048,Sports,59.58,1,2025-11-14 06:07:25.128395,South,Mobile
T00145,C0003,P017,Sports,392.25,1,2025-11-14 12:07:25.128395,South,Online
T00146,C0001,P026,Electronics,292.55,2,2025-11-14 18:07:25.128395,East,Online
T00147,C0005,P036,Food,238.22,2,2025-11-15 00:07:25.128395,South,Retail
T00148,C0090,P001,Books,132.54,4,2025-11-15 06:07:25.128395,West,Retail
T00149,C0014,P008,Electronics,45.06,4,2025-11-15 12:07:25.128395,East,Mobile
T00150,C0027,P049,Food,52.5,4,2025-11-15 18:07:25.128395,South,Retail
T00151,C0009,P035,Food,73.81,2,2025-11-16 00:07:25.128395,North,Mobile
T00152,C0079,P015,Electronics,152.01,2,2025-11-16 06:07:25.128395,North,Online
T00153,C0015,P047,Sports,15.7,4,2025-11-16 12:07:25.128395,West,Online
T00154,C0090,P022,Food,54.17,4,2025-11-16 18:07:25.128395,South,Mobile
T00155,C0042,P014,Sports,16.9,5,2025-11-17 00:07:25.128395,West,Retail
T00156,C0077,P026,Electronics,67.83,4,2025-11-17 06:07:25.128395,East,Mobile
T00157,C0051,P028,Sports,193.33,5,2025-11-17 12:07:25.128395,North,Retail
T00158,C0063,P023,Clothing,132.04,3,2025-11-17 18:07:25.128395,East,Online
T00159,C0096,P014,Books,30.69,2,2025-11-18 00:07:25.128395,South,Retail
T00160,C0052,P024,Food,308.35,4,2025-11-18 06:07:25.128395,West,Mobile
T00161,C0096,P002,Books,98.05,2,2025-11-18 12:07:25.128395,West,Mobile
T00162,C0004,P045,Sports,10.84,2,2025-11-18 18:07:25.128395,West,Online
T00163,C0094,P026,Food,33.59,2,2025-11-19 00:07:25.128395,East,Retail
T00164,C0023,P014,Sports,34.17,3,2025-11-19 06:07:25.128395,North,Retail
T00165,C0015,P007,Clothing,15.74,1,2025-11-19 12:07:25.128395,East,Retail
T00166,C0043,P003,Electronics,267.16,4,2025-11-19 18:07:25.128395,East,Online
T00167,C0029,P047,Food,62.05,1,2025-11-20 00:07:25.128395,South,Retail
T00168,C0036,P023,Clothing,190.93,1,2025-11-20 06:07:25.128395,South,Mobile
T00169,C0013,P046,Clothing,41.11,1,2025-11-20 12:07:25.128395,South,Retail
T00170,C0032,P043,Food,20.7,2,2025-11-20 18:07:25.128395,North,Online
T00171,C0071,P047,Sports,61.45,5,2025-11-21 00:07:25.128395,North,Retail
T00172,C0059,P045,Clothing,19.68,2,2025-11-21 06:07:25.128395,South,Retail
T00173,C0086,P018,Books,63.24,2,2025-11-21 12:07:25.128395,South,Mobile
T00174,C0028,P038,Clothing,212.36,1,2025-11-21 18:07:25.128395,North,Retail
T00175,C0066,P035,Sports,68.85,2,2025-11-22 00:07:25.128395,West,Mobile
T00176,C0042,P015,Sports,86.67,1,2025-11-22 06:07:25.128395,North,Mobile
T00177,C0045,P025,Books,23.63,5,2025-11-22 12:07:25.128395,North,Online
T00178,C0062,P037,Clothing,13.58,4,2025-11-22 18:07:25.128395,North,Mobile
T00179,C0057,P028,Sports,19.4,1,2025-11-23 00:07:25.128395,South,Mobile
T00180,C0006,P010,Food,83.01,5,2025-11-23 06:07:25.128395,West,Online
T00181,C0028,P039,Electronics,17.99,4,2025-11-23 12:07:25.128395,North,Mobile
T00182,C0028,P017,Electronics,47.73,3,2025-11-23 18:07:25.128395,South,Online
T00183,C0044,P039,Electronics,73.9,1,2025-11-24 00:07:25.128395,East,Retail
T00184,C0084,P022,Clothing,49.37,1,2025-11-24 06:07:25.128395,East,Online
T00185,C0030,P026,Books,24.3,3,2025-11-24 12:07:25.128395,North,Mobile
T00186,C0062,P044,Sports,35.59,3,2025-11-24 18:07:25.128395,East,Online
T00187,C0075,P025,Food,220.84,1,2025-11-25 00:07:25.128395,West,Mobile
T00188,C0092,P017,Food,100.16,3,2025-11-25 06:07:25.128395,East,Retail
T00189,C0089,P013,Clothing,64.82,2,2025-11-25 12:07:25.128395,East,Online
T00190,C0062,P020,Electronics,11.02,4,2025-11-25 18:07:25.128395,West,Retail
T00191,C0097,P025,Clothing,400.53,4,2025-11-26 00:07:25.128395,North,Mobile
T00192,C0001,P004,Books,99.05,4,2025-11-26 06:07:25.128395,North,Mobile
T00193,C0027,P010,Books,40.49,2,2025-11-26 12:07:25.128395,West,Retail
T00194,C0062,P003,Sports,179.14,3,2025-11-26 18:07:25.128395,West,Online
T00195,C0077,P041,Sports,33.92,5,2025-11-27 00:07:25.128395,West,Online
T00196,C0003,P045,Books,72.82,3,2025-11-27 06:07:25.128395,East,Mobile
T00197,C0070,P018,Books,90.86,1,2025-11-27 12:07:25.128395,West,Retail
T00198,C0072,P047,Books,29.99,4,2025-11-27 18:07:25.128395,South,Retail
T00199,C0027,P036,Clothing,316.79,3,2025-11-28 00:07:25.128395,East,Online
T00200,C0009,P047,Books,120.33,5,2025-11-28 06:07:25.128395,North,Online
T00201,C0062,P022,Food,75.28,1,2025-11-28 12:07:25.128395,North,Online
T00202,C0037,P034,Electronics,25.93,2,2025-11-28 18:07:25.128395,North,Retail
T00203,C0097,P047,Books,14.43,2,2025-11-29 00:07:25.128395,East,Online
T00204,C0051,P008,Electronics,40.86,5,2025-11-29 06:07:25.128395,South,Online
T00205,C0044,P040,Clothing,121.93,1,2025-11-29 12:07:25.128395,West,Mobile
T00206,C0024,P049,Electronics,35.1,4,2025-11-29 18:07:25.128395,West,Online
T00207,C0079,P044,Clothing,72.05,3,2025-11-30 00:07:25.128395,North,Online
T00208,C0059,P019,Food,114.14,1,2025-11-30 06:07:25.128395,North,Retail
T00209,C0032,P042,Clothing,19.14,2,2025-11-30 12:07:25.128395,East,Retail
T00210,C0096,P041,Clothing,102.49,5,2025-11-30 18:07:25.128395,South,Mobile
T00211,C0088,P037,Sports,17.71,5,2025-12-01 00:07:25.128395,West,Online
T00212,C0052,P006,Books,278.49,3,2025-12-01 06:07:25.128395,East,Mobile
T00213,C0062,P026,Books,63.62,5,2025-12-01 12:07:25.128395,West,Retail
T00214,C0058,P034,Food,23.07,5,2025-12-01 18:07:25.128395,North,Mobile
T00215,C0052,P045,Food,43.53,1,2025-12-02 00:07:25.128395,West,Retail
T00216,C0012,P006,Books,52.68,4,2025-12-02 06:07:25.128395,South,Mobile
T00217,C0039,P037,Sports,123.57,3,2025-12-02 12:07:25.128395,South,Mobile
T00218,C0002,P033,Books,118.83,1,2025-12-02 18:07:25.128395,North,Online
T00219,C0003,P022,Sports,85.73,4,2025-12-03 00:07:25.128395,South,Mobile
T00220,C0056,P021,Food,18.96,1,2025-12-03 06:07:25.128395,South,Online
T00221,C0081,P006,Electronics,23.15,1,2025-12-03 12:07:25.128395,East,Online
T00222,C0059,P006,Food,17.88,5,2025-12-03 18:07:25.128395,West,Online
T00223,C0002,P048,Food,78.86,4,2025-12-04 00:07:25.128395,North,Online
T00224,C0002,P004,Clothing,177.74,3,2025-12-04 06:07:25.128395,North,Mobile
T00225,C0092,P030,Clothing,55.5,3,2025-12-04 12:07:25.128395,North,Retail
T00226,C0054,P011,Clothing,24.03,4,2025-12-04 18:07:25.128395,North,Retail
T00227,C0087,P030,Clothing,75.32,5,2025-12-05 00:07:25.128395,North,Retail
T00228,C0096,P031,Sports,143.6,2,2025-12-05 06:07:25.128395,South,Mobile
T00229,C0097,P024,Books,118.29,1,2025-12-05 12:07:25.128395,East,Online
T00230,C0001,P009,Electronics,180.59,5,2025-12-05 18:07:25.128395,North,Retail
T00231,C0019,P003,Food,36.05,4,2025-12-06 00:07:25.128395,East,Mobile
T00232,C0002,P031,Sports,27.25,1,2025-12-06 06:07:25.128395,East,Online
T00233,C0053,P040,Electronics,179.5,3,2025-12-06 12:07:25.128395,South,Retail
T00234,C0044,P037,Sports,95.73,2,2025-12-06 18:07:25.128395,North,Online
T00235,C0090,P036,Sports,39.79,3,2025-12-07 00:07:25.128395,South,Retail
T00236,C0032,P024,Food,118.49,4,2025-12-07 06:07:25.128395,North,Retail
T00237,C0070,P031,Books,145.04,1,2025-12-07 12:07:25.128395,South,Retail
T00238,C0032,P006,Clothing,86.36,4,2025-12-07 18:07:25.128395,East,Online
T00239,C0068,P002,Books,103.15,1,2025-12-08 00:07:25.128395,North,Mobile
T00240,C0055,P020,Food,47.63,5,2025-12-08 06:07:25.128395,West,Online
T00241,C0075,P028,Food,71.9,2,2025-12-08 12:07:25.128395,East,Retail
T00242,C0056,P011,Food,69.41,5,2025-12-08 18:07:25.128395,West,Online
T00243,C0017,P004,Electronics,160.74,5,2025-12-09 00:07:25.128395,East,Mobile
T00244,C0038,P015,Books,156.59,4,2025-12-09 06:07:25.128395,South,Online
T00245,C0024,P006,Books,153.03,2,2025-12-09 12:07:25.128395,North,Mobile
T00246,C0069,P049,Sports,10.89,1,2025-12-09 18:07:25.128395,East,Mobile
T00247,C0098,P030,Sports,120.76,1,2025-12-10 00:07:25.128395,South,Online
T00248,C0070,P038,Sports,123.73,3,2025-12-10 06:07:25.128395,North,Retail
T00249,C0086,P002,Food,100.75,1,2025-12-10 12:07:25.128395,North,Mobile
T00250,C0011,P015,Books,122.93,4,2025-12-10 18:07:25.128395,East,Online
T00251,C0016,P011,Food,157.6,5,2025-12-11 00:07:25.128395,North,Mobile
T00252,C0097,P008,Electronics,60.84,5,2025-12-11 06:07:25.128395,East,Retail
T00253,C0073,P026,Sports,65.78,5,2025-12-11 12:07:25.128395,North,Online
T00254,C0059,P045,Food,20.66,2,2025-12-11 18:07:25.128395,West,Online
T00255,C0070,P044,Food,48.94,1,2025-12-12 00:07:25.128395,South,Online
T00256,C0080,P005,Electronics,92.48,4,2025-12-12 06:07:25.128395,West,Retail
T00257,C0093,P006,Clothing,131.28,2,2025-12-12 12:07:25.128395,East,Mobile
T00258,C0003,P026,Books,29.59,3,2025-12-12 18:07:25.128395,West,Online
T00259,C0020,P004,Clothing,21.86,4,2025-12-13 00:07:25.128395,East,Mobile
T00260,C0059,P019,Sports,97.02,4,2025-12-13 06:07:25.128395,North,Mobile
T00261,C0036,P020,Food,10.15,4,2025-12-13 12:07:25.128395,North,Retail
T00262,C0019,P033,Electronics,25.72,5,2025-12-13 18:07:25.128395,East,Online
T00263,C0090,P020,Electronics,12.36,4,2025-12-14 00:07:25.128395,West,Mobile
T00264,C0067,P049,Books,24.61,1,2025-12-14 06:07:25.128395,North,Online
T00265,C0019,P012,Clothing,26.0,4,2025-12-14 12:07:25.128395,South,Online
T00266,C0020,P047,Books,49.24,5,2025-12-14 18:07:25.128395,North,Retail
T00267,C0096,P001,Food,51.18,4,2025-12-15 00:07:25.128395,South,Online
T00268,C0071,P026,Books,175.88,3,2025-12-15 06:07:25.128395,West,Online
T00269,C0052,P014,Electronics,67.09,3,2025-12-15 12:07:25.128395,South,Mobile
T00270,C0033,P038,Electronics,112.82,5,2025-12-15 18:07:25.128395,South,Retail
T00271,C0040,P037,Sports,18.8,1,2025-12-16 00:07:25.128395,South,Online
T00272,C0039,P011,Sports,30.44,1,2025-12-16 06:07:25.128395,South,Mobile
T00273,C0082,P036,Food,107.11,2,2025-12-16 12:07:25.128395,North,Retail
T00274,C0001,P013,Clothing,14.34,5,2025-12-16 18:07:25.128395,South,Retail
T00275,C0011,P043,Books,63.34,4,2025-12-17 00:07:25.128395,North,Mobile
T00276,C0092,P003,Food,83.18,5,2025-12-17 06:07:25.128395,South,Mobile
T00277,C0057,P033,Sports,83.73,2,2025-12-17 12:07:25.128395,East,Mobile
T00278,C0089,P006,Books,11.86,5,2025-12-17 18:07:25.128395,West,Mobile
T00279,C0050,P050,Sports,41.1,5,2025-12-18 00:07:25.128395,South,Mobile
T00280,C0023,P010,Books,90.96,2,2025-12-18 06:07:25.128395,East,Online
T00281,C0031,P005,Clothing,22.91,1,2025-12-18 12:07:25.128395,South,Online
T00282,C0094,P023,Food,105.1,4,2025-12-18 18:07:25.128395,South,Retail
T00283,C0042,P010,Books,119.61,2,2025-12-19 00:07:25.128395,South,Online
T00284,C0099,P044,Electronics,331.25,3,2025-12-19 06:07:25.128395,East,Online
T00285,C0007,P002,Electronics,28.84,1,2025-12-19 12:07:25.128395,West,Online
T00286,C0016,P013,Books,149.5,3,2025-12-19 18:07:25.128395,East,Mobile
T00287,C0090,P040,Books,68.77,1,2025-12-20 00:07:25.128395,West,Retail
T00288,C0060,P002,Books,47.4,4,2025-12-20 06:07:25.128395,South,Retail
T00289,C0002,P020,Electronics,20.44,4,2025-12-20 12:07:25.128395,North,Retail
T00290,C0001,P001,Electronics,116.39,5,2025-12-20 18:07:25.128395,South,Retail
T00291,C0048,P037,Books,31.52,3,2025-12-21 00:07:25.128395,West,Online
T00292,C0012,P009,Sports,47.14,1,2025-12-21 06:07:25.128395,East,Online
T00293,C0069,P017,Sports,15.17,4,2025-12-21 12:07:25.128395,South,Mobile
T00294,C0037,P009,Clothing,139.3,2,2025-12-21 18:07:25.128395,East,Retail
T00295,C0032,P011,Food,126.4,4,2025-12-22 00:07:25.128395,East,Online
T00296,C0009,P015,Sports,115.83,2,2025-12-22 06:07:25.128395,East,Online
T00297,C0099,P024,Electronics,38.47,1,2025-12-22 12:07:25.128395,South,Mobile
T00298,C0019,P038,Sports,25.24,4,2025-12-22 18:07:25.128395,East,Mobile
T00299,C0048,P035,Clothing,91.19,4,2025-12-23 00:07:25.128395,East,Mobile
T00300,C0080,P030,Clothing,64.84,1,2025-12-23 06:07:25.128395,South,Online
T00301,C0003,P031,Food,25.71,4,2025-12-23 12:07:25.128395,East,Online
T00302,C0020,P049,Sports,102.65,2,2025-12-23 18:07:25.128395,South,Mobile
T00303,C0024,P005,Electronics,387.97,4,2025-12-24 00:07:25.128395,West,Retail
T00304,C0054,P044,Electronics,120.02,3,2025-12-24 06:07:25.128395,West,Mobile
T00305,C0033,P050,Books,117.76,5,2025-12-24 12:07:25.128395,West,Mobile
T00306,C0024,P014,Electronics,250.16,2,2025-12-24 18:07:25.128395,East,Mobile
T00307,C0075,P011,Food,28.15,3,2025-12-25 00:07:25.128395,North,Mobile
T00308,C0072,P009,Food,76.69,1,2025-12-25 06:07:25.128395,North,Online
T00309,C0036,P034,Electronics,321.56,2,2025-12-25 12:07:25.128395,East,Retail
T00310,C0038,P012,Electronics,24.45,5,2025-12-25 18:07:25.128395,North,Mobile
T00311,C0084,P035,Books,106.39,5,2025-12-26 00:07:25.128395,South,Retail
T00312,C0099,P035,Electronics,80.51,1,2025-12-26 06:07:25.128395,North,Retail
T00313,C0089,P001,Books,80.64,1,2025-12-26 12:07:25.128395,East,Retail
T00314,C0099,P040,Books,105.7,2,2025-12-26 18:07:25.128395,East,Mobile
T00315,C0025,P022,Electronics,222.3,4,2025-12-27 00:07:25.128395,South,Online
T00316,C0093,P029,Clothing,132.07,1,2025-12-27 06:07:25.128395,West,Mobile
T00317,C0018,P008,Clothing,14.62,4,2025-12-27 12:07:25.128395,East,Retail
T00318,C0082,P011,Books,163.24,3,2025-12-27 18:07:25.128395,South,Retail
T00319,C0066,P041,Electronics,30.45,5,2025-12-28 00:07:25.128395,North,Online
T00320,C0054,P037,Clothing,47.85,4,2025-12-28 06:07:25.128395,North,Mobile
T00321,C0035,P014,Electronics,59.55,5,2025-12-28 12:07:25.128395,South,Retail
T00322,C0080,P030,Electronics,62.45,4,2025-12-28 18:07:25.128395,South,Online
